applied_stress,random_stress,random_stress_std,random_velocity,random_velocity_std,random_cross-slip_mean,random_cross-slip_std,20K_stress,20K_stress_std,20K_velocity,20K_velocity_std,20K_cross-slip_mean,20K_cross-slip_std,1M_stress,1M_stress_std,1M_velocity,1M_velocity_std,1M_cross-slip_mean,1M_cross-slip_std
1000.0,872.2078545389573,0.5587226529646442,0.03564138730399181,0.02408190645582341,0.5754840117980164,0.499152466126544,872.5463881498363,0.6027757805065719,0.02507771031535598,0.01025725590445364,0.04804602960029172,0.03013656199310939,872.8153545096682,0.3986360809180945,0.01808406434127404,0.01544512307951468,0.5961185070883516,0.8532392547885913
1200.0,1046.428666750138,0.7276716966186831,0.1542347338648873,0.1197908761285491,1.925632719970827,1.90622253851721,1047.352778505678,0.4406255184128518,0.04156024841473049,0.03632516236307677,0.4235984670811006,0.7698355046713722,1047.2396625202,0.3952716286548718,0.01594402615571631,0.01125787652664751,0.1295440004729983,0.09587315877984008
1400.0,1220.330865468868,0.8071376512062035,0.2304032193972654,0.221444204740371,1.374098117508947,1.428960042971262,1220.993060487366,0.1929983528867555,0.09015452738439265,0.09513180936449289,0.5679663666949182,0.8450756114575245,1221.303672422912,0.3708137051470728,0.101518746219576,0.1346029663702479,0.1530025656798472,0.1771323404324014
1600.0,1393.910061420245,1.064598745221873,0.8151516615264178,0.3844022535905784,6.850422414668588,3.972821133515481,1395.013313659911,0.3125523612751454,0.07885741051483378,0.07700807729712807,0.9487668641199862,1.045446687051677,1395.134670923307,1.164022027551421,0.2360450298333123,0.1190786607190688,2.812618019178804,1.870441144563965
1800.0,1567.74550116022,2.37923923494412,0.7899041736409691,0.4559631514988898,6.115062102382611,1.685606492402835,1569.726200321704,0.957298827766779,0.6021157195734601,0.3228242228958098,5.933586862766941,3.616623256880843,1570.304525970785,0.6971564913566993,0.3483478698779841,0.3675488917486514,4.275244373699789,3.791170753667588
2000.0,1742.599352343718,2.135634993765594,1.277328187566373,0.3795618805638955,13.76803827202408,6.363100202874215,1743.25637912067,1.604187443512901,0.8403514637387565,0.355965400323352,4.367657514429972,3.16740220142821,1743.440380470469,1.019331235152176,0.4368537986343024,0.3750768894196734,5.034365567484749,3.659775220775015
2200.0,1917.031843446952,1.556647382622922,1.894368575573407,0.6509228510177479,17.32043569177051,2.382053741103891,1916.246893086987,3.053212472947332,1.615559834101224,0.5255026658064685,11.51687730547646,4.454585422064754,1917.489514188773,1.184870344175531,0.59051969983271,0.7309019055996024,3.524601663342898,4.370081475927674
2400.0,2090.649908919265,2.623032016097265,2.540456721223376,0.5887905454525183,16.90757785344405,3.314340068732613,2090.11340958749,2.448049415121704,2.348614618730065,0.2021648180778421,15.63436415013558,1.347683161205793,2091.360918203137,1.445982169713681,0.9193285250844327,0.8267916916830664,7.77656234688128,6.828256035008075
2500.0,2180.621258617847,3.955788401868361,2.737481871380243,0.1661936829438608,15.96057525559506,2.913759627329549,2178.319446853526,2.140677478890327,2.602363318174825,0.2017225337788712,16.53144116226783,4.122821895238143,2178.809981154139,2.072592051883886,1.402443985307622,0.7985356329909636,14.82464034093256,4.928579856503027
2600.0,2264.029742847529,2.077518423477299,3.37013367483602,0.2620605014434819,13.1212037879681,3.051169976489788,2265.665917149924,2.970934021186759,2.497170852760116,0.6838319633311924,17.82704583511227,3.360150399077067,2260.725455129825,2.785410416959532,2.426097326459558,1.128312106505868,19.1303576569039,9.382141012795518
2800.0,2438.177711825822,1.349974816326237,3.887963330541871,0.1438522492549577,6.276147961964265,2.252193649554513,2438.161277273365,2.503105985834726,3.471292457433031,0.207618486054843,17.32908688651226,5.484001321402541,2440.357791912877,1.675662288251222,3.482668105168943,0.1852762273314719,22.22152834091215,7.019821395087237
3000.0,2612.682215013416,1.270593925679328,4.102856777938437,0.2414428037858338,1.556094815323792,0.9344211253687116,2613.264684747729,2.584829334263749,4.043259026825469,0.1138853695686696,8.093695069203344,3.182535072735496,2614.108730524963,2.926444322790934,3.957659691822188,0.2476058107087502,15.36854660228431,8.64494931937396
