random_stress,random_stress_std,random_velocity,order_stress,order_stress_std,order_velocity
350.66489061312626,14.265498401845255,0.0007633086966400415,351.2027086490048,21.55999181026293,0.005962619573042536
524.6848143947108,18.72058282257758,0.1034640816927119,524.0577111796778,17.938591902095606,0.00384672121311846
699.7901131687591,15.354385347446717,0.109976261715515,698.2380335560631,11.242475126006585,0.00227335719310502
873.9298229331547,17.510430820412925,0.04835821265005219,874.3954219248825,17.629737496209057,0.3986730946737503
1049.7746284132504,26.245296163736246,0.4611768453351061,1048.2365059074643,17.567022762054354,0.6612908192117198
1221.609984750578,20.490414650953934,0.8460339357045098,1222.094229177098,16.67617632923143,0.6528378336503763
1397.286852507745,18.1496669698606,1.480051775177255,1400.108256929041,25.114485948215567,1.090520774956907
1573.1194707666286,32.202914411412664,1.990660024442841,1571.1502990347599,16.96338808415525,1.504209898685755
1747.8616630857557,24.563096584462336,2.315664938683709,1742.3020608045153,38.12365243523462,2.033242274681977
2181.6428303405055,19.815019583304842,3.588962478719491,2176.4241935878063,35.832300502212796,3.752810191882263
2609.442708826132,34.350750858272825,4.227932341250775,2614.4718824633796,17.629096640787477,4.586468585328464
