random_stress,random_stress_std,random_velocity,20K_stress,20K_stress_std,20K_velocity,1M_stress,1M_stress_std,1M_velocity
262.5742346,7.810613175,0.002630132,261.1483701,27.7337374,0.032610239,261.8243696,15.44835418,0.0328176
437.4907682,35.11018301,2.828128981,435.585607,21.50525285,0.5153125,434.9443102,16.55917402,0.107304277
522.0404544,47.18524955,6.242432818,515.4038173,16.87553324,3.496038217,522.3538543,7.635608677,0.127082316
601.5903479,55.02338749,8.415838317,606.4181487,29.42565534,6.88570138,608.817254,23.85982168,0.399564612
696.6459087,37.61057968,10.7539403,684.0244911,26.03403098,9.643240627,693.6276976,25.30497992,2.329897874
867.4661368,43.70614403,12.8938267,858.178406,80.10812821,12.76649199,867.4827582,34.18959059,7.513021862
1039.667759,66.66820544,14.67959998,1032.498343,79.37205286,14.86525114,1045.172841,23.57493712,11.4139138
1299.322132,55.4294271,16.13235016,1300.851075,67.00624469,15.90404145,1293.019848,81.94243672,14.66237687
